Rsznr.;Naam;NACE Code;Sector;Belangrijkheid;Taal;Straat;Postnr.;Letter;Gemeente;Provincie;AantalBedienden;Trimester;Adrestype;Contacttype;Aanspreektitel;Voornaam Contactpersoon;Naam Contactpersoon;Foutief Adres;Ontvangt Mailing;Mailingadres;EMail;Par. Comité;Kengetal RSZ;Goedgekeurd;Telefoon;Fax;GSM;Plain text;PDF;E-Zine
010592302;ENTREPRISES COP ET PORTIER SA;41203;;100-199;Frans;RUE AWIRS 270;4400;C;Flemalle;LIEGE;20;101;RSZ;(contacttypes);à l'attn. de Monsieur;Joseph;Cop;Nee;Nee;Ja;;218;024;Ja;04/259.84.84;;;Nee;Nee;Nee
010595891;HALLEUX FRS SPRL;43320;;5-9;Frans;SART D'AVETTE(AWR) 110;4400;C;Flemalle;LIEGE;1;101;;(contacttypes);;;;Ja;Nee;Nee;;;026;Nee;;;;Nee;Nee;Nee
010575230;ENTR. GENERALE DUCHENE LOUIS  SA;42990;;200-499;Frans;ROUTE DE STREE 44;4577;A;Modave;LIEGE;116;101;Bedrijfsdossiers;(contacttypes);à l'attn. de Monsieur;Jean-Louis;Dehossay;Nee;Nee;Ja;jlde@duchene.eiffage.be;218;024;Ja;085/51 01 02;085/51 01 75;;Nee;Nee;Ja
010866133;COMPTOIR DE MATERIAUX SA;46731;;10-19;Frans;RUE DE LA STATION 74;4032;A;Chenee;LIEGE;7;101;RSZ;(contacttypes);à l'attn. de Madame;Patricia;Piront;Nee;Nee;Ja;info@comptoirdemateriaux.be;218;026;Ja;04/365.03.18;04/365.85.64;;Nee;Nee;Ja
010868073;SA DES CHARBONNAGES DE GOSSON KESSALES EN LIQUIDATION;46710;;1-4;Frans;RUE J. DEJARDIN 39;4460;A;Bierset;LIEGE;1;101;;(contacttypes);;;;Nee;Nee;Nee;;;010;Nee;;;;Nee;Nee;Nee
011437851;ENTREPRISES LEMOINE SA EN LIQUIDATION;41203;;5-9;Frans;RUE PAUL-J-DELCLOCHE 21;4020;C;Liège 2;LIEGE;0;082;;(contacttypes);;;;Nee;Nee;Nee;;;024;Nee;;;;Nee;Nee;Nee
011455990;ENTREPRISE DETHIER CLEMENT ET FILS SPRL;43320;;20-49;Frans;R DE L'EGLISE,OVIFAT 15;4950;D;Waimes;LIEGE;4;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;026;Ja;;;;Nee;Nee;Nee
011441731;ENTREPR GENERALES MOUREAU FR ET SES FILS SA;41203;;100-199;Frans;RUE MONFORT 108;4430;A;Ans;LIEGE;14;101;RSZ;(contacttypes);à l'attn. de Monsieur;François;Montigney;Nee;Nee;Ja;françois.moureau@cobonet.be;218;024;Ja;04/263.88.97;04/263.88.98;;Nee;Nee;Ja
012303867;A.M.M. SA;46423;;1-4;Frans;AV EMILE DIGNEFFE 39;4000;B;Liege 1;LIEGE;1;101;RSZ;(contacttypes);;;Responsable de la formation;Nee;Nee;Ja;;218;010;Ja;;;;Nee;Nee;Nee
012201920;SPRL MAISON SPAENS ET ROSSIUS SUCCESSEURS ALFRED ET CHRISTIAN ROSSIUS SPRL;46392;;10-19;Frans;RUE DE L'AVENIR 42;4460;A;Bierset;LIEGE;3;093;;(contacttypes);;;;Ja;Nee;Nee;;;057;Nee;;;;Nee;Nee;Nee
012254397;ETS BOUNAMEAUX SA;45113;;50-99;Frans;QUAI VERCOUR 106;4000;B;Liege 1;LIEGE;26;101;RSZ;(contacttypes);à l'attn. de Monsieur;William;BOUNAMEAUX;Nee;Nee;Ja;bounameaux@skynet.be;218;064;Ja;04/252 71 30;04/252 58 00;;Nee;Nee;Ja
